,long_name,player_positions,overall,value_eur,age,club_position,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure
14447,Luke Myers James,ST,61,400000.0,26,SUB,Right,3,3,1,76.0,59.0,50.0,61.0,36.0,70.0,45,59,57,55,55,61,51,42,48,59,74,77,73,58,65,61,79,71,71,56,65,37,59,51,58,55
14451,George Christopher Williams,"ST, LM",61,450000.0,25,SUB,Right,3,3,1,76.0,60.0,59.0,66.0,31.0,60.0,56,61,52,60,57,64,63,66,55,63,78,75,85,57,72,60,73,70,60,58,42,27,61,61,62,58
14457,Orhan Ademi,ST,61,325000.0,29,SUB,Right,3,2,1,63.0,59.0,48.0,59.0,28.0,74.0,40,61,61,56,53,59,47,46,40,61,61,65,55,58,52,63,74,63,85,53,61,23,57,50,55,55
14459,Lee Anthony Angol,ST,61,375000.0,26,SUB,Right,3,3,1,81.0,60.0,55.0,61.0,30.0,68.0,52,61,58,56,53,61,58,61,49,59,78,83,70,53,70,65,81,75,72,55,45,30,57,57,62,56
14461,Nicolai Brock-Madsen,ST,61,325000.0,28,SUB,Right,3,2,1,59.0,58.0,46.0,57.0,33.0,74.0,35,60,66,56,48,55,44,42,35,62,55,62,49,60,55,62,45,65,86,52,62,26,61,50,58,56
14464,Aleksandar Kolev,ST,61,325000.0,28,SUB,Left,3,2,1,73.0,61.0,50.0,60.0,40.0,73.0,38,59,60,58,54,59,56,46,45,58,77,69,68,53,65,68,69,71,79,63,60,41,58,52,54,62
14474,Jeff Mensah,"LW, CM",61,325000.0,28,SUB,Right,3,3,1,75.0,55.0,58.0,62.0,53.0,63.0,56,57,50,62,48,60,54,48,56,60,74,75,74,58,72,58,60,65,60,50,68,50,56,58,50,58
14486,Martin Samuelsen,"ST, LM, RM",61,525000.0,24,SUB,Right,4,4,1,71.0,59.0,58.0,69.0,30.0,50.0,52,58,54,61,40,70,57,60,51,70,70,72,69,57,65,66,33,56,57,60,31,22,59,64,50,60
14491,Younes Bnou-Marzouk,ST,61,450000.0,25,SUB,Right,3,3,1,63.0,62.0,44.0,63.0,24.0,56.0,35,61,61,51,66,62,59,37,35,62,71,56,73,54,70,66,76,65,61,59,28,14,61,43,60,56
14515,Bernard Patrick Ashley-Seal,ST,61,750000.0,22,SUB,Right,3,3,1,77.0,57.0,43.0,59.0,24.0,63.0,32,59,61,54,54,58,42,33,36,57,74,79,73,58,60,61,62,54,81,49,30,14,60,43,62,48
14516,Juan José Calero Sierra,ST,61,750000.0,22,RES,Right,3,3,1,58.0,61.0,50.0,62.0,28.0,57.0,41,65,58,61,41,64,49,60,39,63,58,58,55,58,61,61,56,64,64,60,32,20,57,46,61,51
14519,Offrande Jolynold Serge Zanzala,ST,61,500000.0,24,ST,Right,2,2,1,70.0,59.0,45.0,58.0,29.0,70.0,39,62,62,51,50,58,33,32,39,60,71,69,56,57,59,61,70,69,77,52,55,26,61,53,61,55
14524,Francis Ross,LW,61,725000.0,23,RES,Right,3,2,1,69.0,42.0,59.0,68.0,48.0,50.0,57,42,35,63,39,69,53,43,59,64,68,69,81,57,76,34,60,53,47,46,49,49,56,61,48,53
14531,Mathew Antony Stevens,ST,61,525000.0,23,LS,Right,3,2,1,73.0,60.0,48.0,61.0,21.0,66.0,38,61,58,54,56,60,50,33,41,61,72,74,68,56,67,63,70,69,70,57,49,20,61,54,59,52
14535,Tobias Lauritsen,ST,61,675000.0,23,ST,Right,3,2,1,66.0,59.0,47.0,58.0,40.0,68.0,37,60,62,52,51,58,45,38,46,58,64,67,58,57,55,62,66,63,75,54,57,39,63,53,62,55
14538,Andre Antonio Wright,ST,61,500000.0,24,ST,Right,3,2,1,74.0,61.0,50.0,58.0,26.0,62.0,36,62,58,52,53,58,58,41,47,59,73,74,52,58,60,67,58,63,70,54,43,21,58,62,63,57
14570,Samuel Toby Smith,ST,61,725000.0,23,SUB,Left,3,2,1,67.0,61.0,50.0,57.0,24.0,70.0,39,62,60,56,55,56,52,55,41,57,64,69,63,54,63,60,73,65,76,58,60,19,63,53,63,58
14579,Tristan Michael Alexander Abrahams,ST,61,750000.0,22,ST,Right,3,2,1,83.0,59.0,48.0,62.0,21.0,69.0,42,61,51,52,50,60,57,44,40,60,82,83,79,59,76,60,68,69,76,56,54,11,60,52,60,56
14591,Zachary Harry Dearnley,ST,61,750000.0,22,SUB,Right,4,3,1,76.0,59.0,56.0,63.0,34.0,59.0,55,62,55,59,44,62,48,48,57,63,73,78,70,54,77,64,57,52,61,50,64,45,63,54,53,52
14615,Jonah Osabutey,"ST, RW",61,675000.0,22,RES,Right,2,3,1,82.0,58.0,47.0,64.0,24.0,57.0,58,61,57,55,39,64,31,37,32,62,80,83,68,58,70,60,75,32,57,56,82,15,61,39,56,60
14616,Torben Müsel,ST,61,750000.0,21,RES,Right,3,2,1,67.0,61.0,57.0,65.0,28.0,54.0,56,65,55,64,57,66,56,56,50,68,66,68,67,51,64,60,53,54,61,55,35,28,59,51,53,44
14618,Gerard Garner,ST,61,750000.0,22,ST,Right,3,2,1,70.0,60.0,46.0,60.0,22.0,58.0,36,61,58,55,55,59,41,39,35,60,71,69,66,58,73,63,57,54,67,57,41,16,61,49,55,48
14619,Pedro Alves Correia,ST,61,800000.0,21,RES,Right,3,2,1,45.0,64.0,47.0,53.0,25.0,65.0,38,64,63,54,63,52,57,44,43,56,42,48,53,57,43,69,40,51,82,58,48,22,64,44,65,51
14631,Moses Ebiye,ST,61,525000.0,24,SUB,Right,4,2,1,88.0,57.0,52.0,60.0,35.0,68.0,56,59,57,56,54,60,52,35,49,59,87,89,72,54,64,62,80,68,73,50,51,20,57,45,53,52
14638,Jordan Lewis Gibson,RW,61,525000.0,23,SUB,Right,3,3,1,78.0,58.0,53.0,63.0,36.0,52.0,58,58,46,54,37,65,54,54,40,61,77,78,73,49,67,63,51,67,53,63,32,28,50,53,54,55
14642,Francis Jno-Baptiste,ST,61,675000.0,21,LS,Right,3,3,1,82.0,61.0,46.0,63.0,28.0,51.0,42,62,59,51,45,63,44,42,41,60,83,82,77,56,69,65,67,63,49,56,39,24,60,48,67,57
14643,Jasse Sakari Tuominen,"ST, RW",61,475000.0,25,SUB,Right,3,2,1,69.0,62.0,45.0,58.0,41.0,57.0,35,62,64,50,52,59,41,33,45,57,71,67,60,60,57,59,76,52,57,63,58,32,65,49,72,58
14645,Justin Steinkötter,ST,61,750000.0,21,SUB,Right,4,2,1,74.0,60.0,47.0,59.0,27.0,60.0,40,62,61,58,56,59,48,38,40,54,80,69,69,62,70,63,65,64,58,56,57,20,60,41,58,49
14649,Rayhaan Rahim Amari Tulloch,"LW, LM, ST",61,850000.0,20,RES,Right,3,2,1,68.0,59.0,53.0,64.0,25.0,56.0,53,62,56,58,43,64,65,47,44,66,70,66,63,57,70,58,67,51,58,58,55,20,63,51,55,50
14651,Harvey Andrew Knibbs,ST,61,525000.0,22,SUB,Right,3,3,1,74.0,59.0,46.0,59.0,26.0,67.0,36,59,57,51,52,59,41,33,43,60,75,73,58,58,59,62,63,67,72,57,54,20,62,52,59,54
14656,Jack Daniel Kalichi Lahne,"ST, RM",61,725000.0,19,SUB,Right,3,3,1,92.0,61.0,52.0,64.0,36.0,62.0,40,65,47,57,52,63,45,42,55,60,93,92,81,49,88,60,91,71,55,57,62,38,61,59,63,58
14657,Ervin Taha,ST,61,750000.0,22,RES,Right,3,2,1,84.0,57.0,48.0,63.0,23.0,56.0,33,59,57,61,49,64,43,35,41,61,79,88,68,53,76,58,55,63,59,53,38,19,58,51,65,51
14666,Aaron John Drinan,ST,61,725000.0,23,SUB,Right,3,2,1,69.0,59.0,48.0,61.0,32.0,59.0,34,61,61,57,50,61,52,30,44,60,68,70,66,57,69,62,57,55,64,55,52,24,58,51,60,51
14673,Connor Shields,"RW, ST",61,525000.0,23,SUB,Right,3,2,1,80.0,53.0,56.0,63.0,37.0,62.0,60,54,50,59,43,63,42,40,55,58,78,81,76,57,70,53,59,82,61,50,42,32,58,53,55,56
14674,Ibrahima Koné,ST,61,750000.0,22,ST,Left,2,2,1,71.0,58.0,45.0,58.0,30.0,68.0,38,60,58,54,55,56,49,30,36,58,72,71,66,56,66,64,73,66,72,52,60,20,63,48,44,54
14686,Bojan Radulović Samouković,ST,61,675000.0,21,SUB,Right,3,2,1,61.0,59.0,47.0,63.0,27.0,65.0,31,62,63,54,55,68,39,29,42,60,59,62,57,56,54,58,64,65,67,54,60,20,62,60,50,57
14701,Jayden Mitchell-Lawson,"LW, ST",61,725000.0,21,SUB,Right,3,3,1,72.0,54.0,55.0,66.0,36.0,42.0,56,55,35,57,43,64,52,43,53,62,73,72,83,54,90,56,60,54,32,53,45,30,60,54,49,62
14703,James Stanley Daly,ST,61,800000.0,21,SUB,Left,2,2,1,76.0,60.0,44.0,62.0,26.0,50.0,33,62,58,52,54,60,42,30,41,59,78,75,81,57,71,60,57,54,55,57,31,20,61,46,60,50
14704,Sveinn Aron Guðjohnsen,ST,61,725000.0,23,SUB,Left,2,2,1,46.0,60.0,39.0,55.0,26.0,69.0,23,64,66,52,43,54,31,31,29,60,38,52,50,61,43,65,64,56,78,49,66,18,64,45,54,57
14709,Bruce Anderson,"ST, LW",61,750000.0,22,ST,Right,3,2,1,72.0,62.0,45.0,62.0,18.0,46.0,38,67,57,51,52,63,55,41,35,62,76,69,68,51,62,64,67,55,44,56,33,14,60,45,50,50
14714,Samuel Essende,ST,61,725000.0,23,SUB,Right,3,3,1,68.0,60.0,41.0,58.0,25.0,69.0,31,61,66,54,52,61,38,34,30,63,67,69,51,46,43,67,64,51,82,52,61,18,56,41,61,48
14715,Nelson Felix Balongo Lissondja Vha,ST,61,675000.0,22,SUB,Right,3,2,1,79.0,60.0,47.0,62.0,24.0,51.0,43,65,61,58,53,61,41,31,30,63,77,81,69,53,63,58,73,33,66,53,29,19,54,49,57,57
14719,Daishawn Orpheo Marvin Redan,ST,61,875000.0,20,SUB,Right,4,3,1,75.0,60.0,49.0,64.0,22.0,53.0,43,64,55,55,48,63,52,40,40,63,77,74,75,55,74,63,62,58,56,53,37,21,58,54,60,57
14724,Carl Björk,ST,61,750000.0,21,SUB,Right,3,2,1,70.0,59.0,52.0,60.0,27.0,62.0,44,62,58,58,45,58,47,37,44,63,71,70,64,54,60,58,70,63,68,54,45,27,63,61,60,54
14728,Charlie Kelman,ST,61,850000.0,19,SUB,Right,3,3,1,82.0,61.0,45.0,63.0,26.0,60.0,44,62,51,46,53,62,55,44,35,61,82,82,75,57,71,65,72,68,57,59,54,21,60,50,59,58
14735,Sondre Liseth,"ST, CAM",61,525000.0,23,CAM,Right,3,2,1,66.0,57.0,55.0,61.0,30.0,65.0,58,59,60,58,47,60,57,34,43,62,63,68,57,60,65,58,70,69,74,54,36,25,60,58,56,60
14741,Santeri Hostikka,"LW, RW",61,475000.0,23,SUB,Right,3,3,1,77.0,53.0,58.0,63.0,24.0,54.0,58,53,36,60,45,62,63,60,54,62,75,78,76,58,69,59,33,65,56,49,40,22,56,58,53,56
14743,Manassé Mampala,"ST, LW, RW",61,725000.0,20,SUB,Right,3,3,1,73.0,58.0,52.0,62.0,33.0,61.0,60,59,63,56,55,62,50,44,35,60,75,71,69,58,67,59,58,51,66,54,60,32,60,54,59,62
14747,Aleksander Buksa,ST,61,825000.0,18,RES,Left,3,3,1,72.0,60.0,47.0,59.0,23.0,55.0,42,61,56,52,54,59,57,29,38,61,73,71,58,64,56,64,71,66,60,57,26,21,58,52,51,52
14754,Metehan Güçlü,"ST, RW",61,500000.0,22,RES,Left,2,2,1,75.0,60.0,54.0,61.0,23.0,56.0,42,60,62,60,56,59,47,48,49,60,73,76,75,58,66,60,71,48,64,59,44,21,59,60,66,51
14767,Alexi Paul Pitu,"LW, CAM",61,775000.0,19,LW,Right,3,3,1,75.0,52.0,58.0,64.0,37.0,48.0,59,51,46,61,42,63,59,52,53,62,81,70,73,55,79,55,56,63,41,53,47,35,55,58,49,56
14769,Víctor Christopher De Baunbaug,"ST, RW",61,800000.0,20,RES,Right,3,2,1,74.0,59.0,52.0,64.0,26.0,59.0,53,61,56,61,55,67,45,48,45,63,76,72,66,52,62,58,63,65,65,56,35,27,56,45,58,58
14781,Louis Munteanu,ST,61,850000.0,19,SUB,Right,2,3,1,73.0,61.0,52.0,64.0,38.0,56.0,42,63,49,57,58,62,52,43,48,63,75,72,73,59,70,65,58,61,62,54,33,38,60,56,53,61
14783,Nathan N'Goumou Minpole,"LW, RW",61,725000.0,21,RW,Right,2,3,1,74.0,61.0,58.0,60.0,29.0,56.0,58,63,46,62,65,61,60,47,58,61,73,75,65,47,65,65,55,67,58,53,35,17,58,54,66,51
14785,Tyrone Tormin,RW,61,800000.0,20,SUB,Right,3,2,1,80.0,55.0,53.0,64.0,27.0,56.0,56,55,41,54,51,64,53,49,48,63,79,80,71,51,74,56,59,60,60,51,39,19,60,54,62,54
14787,Maximilian Franzke,RW,61,725000.0,22,SUB,Right,4,3,1,76.0,51.0,56.0,64.0,27.0,58.0,62,57,56,58,35,65,45,42,53,64,75,76,69,54,72,51,66,70,57,44,43,24,46,56,47,52
14790,Mihai Alexandru Neicuțescu,"LW, LM, ST",61,500000.0,22,SUB,Left,3,2,1,76.0,56.0,54.0,61.0,25.0,60.0,56,57,55,59,47,63,33,25,51,61,75,77,65,53,63,62,76,62,70,47,29,19,57,57,64,44
14793,Bridge Ndilu,ST,61,800000.0,20,SUB,Right,3,3,1,69.0,62.0,50.0,60.0,20.0,57.0,39,64,60,58,47,64,45,39,46,57,70,69,57,57,51,58,63,51,69,62,34,17,61,54,72,50
14797,Thibo Baeten,ST,61,775000.0,19,RES,Left,3,2,1,74.0,61.0,41.0,58.0,21.0,58.0,29,63,61,50,54,56,44,31,32,57,72,75,70,57,64,59,73,55,67,58,34,13,65,48,65,49
14799,Eric Hottmann,"ST, RM",61,750000.0,21,SUB,Right,3,2,1,66.0,56.0,53.0,61.0,26.0,70.0,52,57,65,59,46,60,39,28,52,63,54,75,63,55,59,60,81,65,78,54,55,23,58,56,52,52
14803,Kevin Piscopo,"CF, ST, CAM",61,725000.0,23,RES,Right,2,2,1,73.0,62.0,50.0,60.0,48.0,65.0,48,62,59,56,50,63,50,50,45,60,72,73,52,60,62,70,68,64,68,60,60,44,62,45,56,46
14809,Robert Marian Moldoveanu,"ST, LW",61,475000.0,22,ST,Right,3,3,1,71.0,58.0,56.0,64.0,18.0,56.0,60,61,56,60,46,61,44,26,48,62,72,70,90,57,72,63,76,61,62,51,29,11,60,61,56,49
14829,Morgan Whittaker,"ST, RW",61,800000.0,20,SUB,Left,3,3,1,71.0,61.0,50.0,63.0,25.0,57.0,47,65,51,52,54,64,59,31,44,62,69,72,68,60,66,58,61,66,61,56,34,23,60,57,56,58
14830,Ignacio Ramón del Valle,ST,61,750000.0,22,RES,Right,3,3,1,66.0,63.0,42.0,55.0,30.0,62.0,34,67,73,48,59,53,41,33,32,58,64,68,52,54,55,58,61,52,68,60,61,22,59,49,61,57
14832,Issa Soumaré,"RW, RM, ST",61,725000.0,20,SUB,Right,2,2,1,81.0,61.0,50.0,63.0,16.0,45.0,45,64,50,53,45,65,49,35,43,59,80,81,58,55,80,56,60,62,40,60,30,16,59,58,68,61
14847,Tyler Burey,"ST, LW",61,875000.0,20,RES,Right,3,2,1,77.0,59.0,55.0,64.0,38.0,65.0,54,60,49,56,55,61,63,57,49,62,78,76,78,64,73,59,70,67,64,57,66,25,60,55,54,59
14866,Joshua Michael Blainey Davison,ST,61,750000.0,21,SUB,Right,4,2,1,65.0,61.0,42.0,58.0,19.0,60.0,30,63,59,52,57,57,51,46,32,60,65,65,60,60,61,62,69,52,73,57,37,15,58,43,59,48
14876,Jay Stansfield,ST,61,900000.0,18,RES,Right,3,2,1,74.0,62.0,47.0,61.0,25.0,53.0,37,65,52,56,48,59,46,28,33,63,75,74,68,55,63,62,65,64,55,57,31,25,64,55,64,61
14891,川﨑 修平,"LW, CF, RW",61,800000.0,20,RES,Right,4,3,1,73.0,57.0,58.0,63.0,23.0,56.0,60,58,38,60,48,62,56,55,55,60,76,70,78,46,83,56,78,60,63,60,28,23,56,58,47,58
14900,Tobias Bech,RW,61,775000.0,19,RW,Left,3,3,1,69.0,60.0,56.0,63.0,33.0,61.0,53,60,50,59,48,64,56,58,52,63,71,68,68,45,58,65,48,71,60,60,54,26,60,56,46,64
14902,Ishaq Abdulrazak,"RW, RWB",61,775000.0,19,RWB,Right,3,3,1,77.0,50.0,56.0,65.0,49.0,52.0,54,52,43,59,43,65,55,41,56,64,74,79,74,54,78,51,57,54,52,47,48,51,56,55,44,59
14904,Malik Tillman,ST,61,925000.0,19,RES,Right,3,2,1,66.0,64.0,48.0,61.0,18.0,56.0,39,67,59,57,48,62,41,32,40,62,67,65,64,54,61,68,65,60,59,59,41,14,57,53,58,54
14910,Lenn Jastremski,ST,61,800000.0,20,SUB,Right,4,2,1,59.0,63.0,40.0,56.0,19.0,60.0,40,65,61,42,56,55,46,39,31,58,55,62,58,61,51,65,47,56,71,57,42,14,64,44,62,45
14911,Marlon Suliman Mustapha,ST,61,725000.0,20,LS,Right,3,2,1,62.0,63.0,43.0,57.0,24.0,71.0,32,67,68,46,42,56,40,35,45,57,63,61,60,56,65,64,76,55,80,60,66,16,52,48,57,50
14913,Noah Fatar,RW,61,850000.0,19,RES,Left,2,2,1,71.0,67.0,57.0,63.0,27.0,49.0,52,67,56,57,65,60,63,51,58,67,70,71,68,42,87,72,54,58,49,66,35,22,56,59,69,49
14917,Christian Norton,ST,61,800000.0,20,SUB,Right,3,2,1,82.0,62.0,52.0,62.0,31.0,52.0,36,65,53,60,59,63,60,39,52,63,84,81,60,55,68,62,50,63,52,60,37,35,52,57,65,48
14920,Hugo Ekitike,ST,61,850000.0,19,SUB,Right,3,3,1,69.0,59.0,46.0,60.0,22.0,66.0,34,61,69,52,53,59,48,33,35,61,70,68,64,50,66,62,74,58,71,51,59,11,59,56,63,58
14921,Sekou Sidibe,"RW, LW",61,725000.0,20,LW,Left,4,4,1,76.0,59.0,55.0,66.0,30.0,48.0,60,58,43,51,61,66,59,46,53,63,77,76,77,52,76,69,47,61,48,55,34,22,51,58,54,60
14926,Davide Massaro,"ST, CF",61,675000.0,23,SUB,Right,2,2,1,65.0,61.0,45.0,59.0,34.0,54.0,43,66,62,46,42,58,38,44,40,57,67,64,70,66,59,61,65,57,57,53,38,26,67,52,64,54
14955,Eñaut Mendiaren Berasategi,"ST, RM",61,750000.0,22,RES,Right,3,3,1,73.0,58.0,41.0,59.0,25.0,59.0,42,62,71,47,55,55,45,52,22,60,70,76,71,58,68,56,68,57,63,52,47,17,57,42,61,56
14962,Ole ter Haar Romeny,"ST, LW, CAM",61,750000.0,21,SUB,Right,3,3,1,67.0,60.0,50.0,62.0,23.0,60.0,33,60,59,59,54,68,55,38,44,62,66,68,54,59,48,60,56,58,74,60,29,19,57,57,61,46
14965,Asier Córdoba Querejeta,LW,61,800000.0,21,RES,Left,3,3,1,77.0,57.0,58.0,61.0,36.0,52.0,69,57,43,58,52,61,47,42,54,62,74,79,70,48,58,64,41,52,57,53,44,35,52,57,56,59
14970,Gillian Timothy Jurcher,ST,61,675000.0,24,SUB,Right,2,2,1,81.0,58.0,39.0,65.0,18.0,57.0,30,59,49,42,55,63,39,34,31,62,79,83,83,65,82,64,73,63,59,49,38,11,62,48,61,49
14976,Mustapha Sangaré,ST,61,750000.0,22,RES,Right,3,2,1,68.0,60.0,48.0,57.0,24.0,64.0,38,65,67,60,38,57,59,31,40,59,69,67,60,48,49,65,63,54,76,50,47,18,59,46,60,50
14977,Daan Rots,"RW, ST",61,775000.0,19,SUB,Left,3,3,1,81.0,57.0,52.0,63.0,26.0,50.0,51,57,51,52,60,62,65,48,46,62,82,81,79,54,70,58,60,51,50,57,45,17,58,56,52,52
14980,Des Kunst,"ST, LW",61,750000.0,21,SUB,Right,3,2,1,57.0,62.0,46.0,56.0,32.0,65.0,29,66,66,57,52,56,36,34,33,60,54,59,50,52,46,58,64,63,69,61,56,28,63,58,62,57
15001,Noah Ohio,ST,61,825000.0,18,SUB,Left,3,2,1,85.0,61.0,44.0,58.0,25.0,59.0,37,64,57,51,49,56,48,42,35,58,82,88,68,48,66,66,63,47,74,55,35,20,55,47,50,49
15014,Robert Street,"ST, CAM",61,775000.0,19,RES,Right,3,2,1,56.0,62.0,45.0,57.0,29.0,54.0,31,63,77,56,51,58,40,31,37,60,54,57,48,52,51,65,66,60,50,58,54,19,59,49,70,55
15015,Aaron Pressley,ST,61,775000.0,19,SUB,Right,3,2,1,70.0,60.0,43.0,58.0,23.0,68.0,31,64,59,52,54,57,36,30,31,60,68,72,54,58,57,57,68,59,74,55,66,18,63,53,56,58
15027,Lewis Richardson,ST,61,775000.0,18,SUB,Right,3,2,1,67.0,60.0,47.0,63.0,26.0,53.0,38,62,60,53,58,62,52,34,43,64,70,64,65,54,71,61,65,61,56,53,31,19,62,52,57,61
15030,Ron Berlinski,ST,61,400000.0,26,RES,Right,3,2,1,79.0,62.0,49.0,57.0,31.0,61.0,38,64,53,53,58,54,54,42,49,55,82,76,66,56,69,63,75,57,64,56,54,27,64,53,65,60
15053,Mahamadou Doucouré,ST,61,800000.0,21,SUB,Right,2,3,1,69.0,59.0,44.0,59.0,31.0,69.0,29,60,67,53,54,61,45,41,34,57,66,71,61,49,59,64,68,57,80,54,57,29,57,49,60,58
15057,Moonga Simba,"RW, LW",61,725000.0,21,SUB,Left,2,4,1,75.0,56.0,54.0,65.0,33.0,64.0,54,58,35,59,49,67,51,42,47,66,74,75,72,48,70,59,58,68,72,53,40,36,52,53,53,48
15065,Sam Crowther,ST,61,750000.0,21,RES,Right,3,2,1,49.0,63.0,44.0,55.0,29.0,69.0,40,65,72,50,51,56,37,31,42,59,48,50,50,51,39,65,68,64,75,59,58,21,61,43,65,54
15068,Iker Unzueta Arregui,"ST, LM",61,675000.0,22,RS,Right,3,3,1,64.0,65.0,47.0,60.0,22.0,57.0,38,71,68,51,53,64,49,50,41,55,63,65,65,57,58,57,57,58,66,64,35,18,54,53,70,53
15069,Jorge Aguirre de Céspedes,ST,61,800000.0,21,RES,Right,3,3,1,55.0,64.0,49.0,61.0,23.0,55.0,34,66,66,60,54,65,46,43,43,61,54,56,50,56,59,62,70,55,62,61,32,17,59,52,71,48
15076,Guillaume Furrer,"ST, CF",61,725000.0,20,LF,Right,3,2,1,63.0,61.0,52.0,62.0,24.0,54.0,51,64,54,56,59,61,45,48,39,61,63,63,71,59,71,63,51,65,59,53,29,23,62,56,58,45
15080,Oliver Issa Schmitt,LW,61,725000.0,21,SUB,Right,2,2,1,82.0,53.0,56.0,63.0,32.0,51.0,60,55,44,60,53,64,51,40,51,62,83,82,71,41,72,60,61,51,58,40,31,23,54,54,54,54
15083,Danilo Orsi,ST,61,475000.0,25,SUB,Right,3,3,1,73.0,59.0,47.0,60.0,24.0,62.0,42,61,58,51,56,59,39,44,38,58,72,74,70,57,69,60,70,74,69,55,29,18,62,53,61,59
15090,Yanis Guermouche,ST,61,800000.0,20,SUB,Right,3,2,1,65.0,62.0,48.0,58.0,23.0,61.0,38,67,66,56,45,61,45,42,39,57,63,66,59,55,45,60,65,55,73,55,38,19,58,54,64,55
15091,Oliver Strunz,"ST, CF",61,800000.0,21,SUB,Right,3,2,1,67.0,61.0,41.0,56.0,29.0,72.0,33,63,67,46,52,52,45,37,28,57,63,70,65,57,64,62,68,67,79,56,63,24,60,51,59,57
15111,Robin Friedrich,ST,61,825000.0,18,RES,Right,4,2,1,67.0,63.0,47.0,59.0,21.0,39.0,36,66,67,54,53,57,44,42,40,57,69,66,67,55,84,64,65,50,33,55,32,17,64,52,68,54
15113,Abdenego Nankishi,LW,61,825000.0,18,SUB,Right,3,2,1,86.0,51.0,52.0,67.0,29.0,47.0,52,51,29,58,50,70,56,39,47,62,88,84,71,61,70,57,63,60,46,49,27,50,47,46,47,59
15115,Esey Gebreyesus,RW,61,1000000.0,17,RES,Right,4,2,1,73.0,59.0,52.0,65.0,27.0,48.0,60,67,48,51,49,74,50,44,44,57,72,74,64,57,51,56,48,54,53,49,27,23,42,56,57,47
15117,Gloire Amanda,"ST, RW, LW",61,525000.0,22,SUB,Right,3,2,1,72.0,60.0,48.0,60.0,20.0,59.0,53,62,54,55,49,58,36,31,33,61,69,74,63,57,67,64,66,54,66,56,44,17,59,47,59,54
15126,Ernest Terpiłowski,"ST, CAM, LM",61,775000.0,19,RS,Right,3,3,1,86.0,59.0,50.0,63.0,25.0,66.0,42,61,53,54,54,62,54,42,45,61,86,86,76,52,72,62,72,73,66,55,54,17,56,56,59,53
15127,Salim Ben Seghir,RW,61,750000.0,18,SUB,Right,4,2,1,70.0,63.0,55.0,67.0,28.0,36.0,63,65,37,60,51,74,68,72,41,61,73,67,65,51,78,71,56,47,32,55,27,28,46,40,66,45
15135,Mert Miraç Altıntaş,"LW, RW",61,775000.0,19,SUB,Right,3,3,1,73.0,61.0,51.0,65.0,28.0,45.0,57,59,38,57,52,67,47,42,39,64,71,74,74,48,70,64,47,55,45,66,32,22,59,45,55,53
15137,Luís Fellipe Rodrigues Mota,ST,61,675000.0,17,RES,Right,2,2,1,55.0,66.0,44.0,56.0,26.0,53.0,40,69,67,47,46,54,43,40,41,60,55,55,53,53,60,70,63,54,58,60,37,25,59,48,72,47
15139,Jesurun Rak-Sakyi,RW,61,825000.0,18,RES,Left,3,3,1,69.0,61.0,57.0,64.0,24.0,46.0,60,61,42,58,56,64,63,58,48,63,72,67,74,48,71,62,44,47,48,61,39,21,57,58,61,54
15145,Will Goodwin,ST,61,775000.0,19,RS,Right,3,2,1,67.0,59.0,44.0,58.0,28.0,73.0,30,59,61,54,56,56,54,41,22,62,64,69,61,58,53,63,71,65,79,54,66,24,61,53,58,58
15150,Ernest Poku,"RW, ST",61,1000000.0,17,RES,Right,4,3,1,90.0,51.0,49.0,66.0,28.0,39.0,52,53,37,50,46,65,52,42,43,64,91,90,85,46,81,52,47,46,38,46,32,21,51,51,50,48
15151,Ar'jany Martha,RW,61,825000.0,17,RES,Left,2,3,1,80.0,55.0,56.0,64.0,30.0,41.0,57,62,38,59,51,69,53,44,51,63,82,78,53,42,69,54,42,42,45,41,31,23,56,55,61,56
15152,Diego López Noguerol,"ST, LM",61,850000.0,19,RES,Right,4,2,1,70.0,61.0,52.0,61.0,34.0,51.0,49,66,56,58,49,60,50,52,44,61,70,70,65,61,70,58,56,60,54,57,33,30,64,49,60,49
15153,Toshio Lake,"ST, LM, RM",61,725000.0,20,SUB,Right,3,2,1,74.0,60.0,48.0,62.0,23.0,61.0,42,59,52,54,46,60,43,33,35,59,72,75,69,62,77,68,58,52,78,58,28,15,60,56,58,62
15155,Pablo Felipe Pereira de Jesus,ST,61,900000.0,17,RES,Right,3,2,1,69.0,64.0,44.0,57.0,24.0,52.0,42,70,65,51,63,54,40,32,41,56,71,67,68,58,66,57,61,51,56,58,39,27,61,42,59,51
15161,Dániel Prosser,"RW, ST",61,350000.0,27,SUB,Left,3,2,1,75.0,59.0,52.0,61.0,28.0,56.0,53,61,54,58,50,60,41,40,46,61,77,74,70,55,76,62,67,62,58,55,43,26,58,53,58,50
